product_id,product_name,category,price,online_available,offline_available,offline_stores,festival,season,image_reference
PRD001,Being Human Hoodie,Hoodie,1999,Yes,Yes,Zudio Ground Floor; Zudio Park Street Ground Floor; ABFRL Store South City,"Christmas,Holi",Winter,/images/products/PRD001.jpg
PRD002,Flying Machine Shorts,Shorts,899,Yes,Yes,Eden Pavilion Mall Third Floor; Mani Square Mall First Floor; ABFRL Store South City,Holi,Summer,/images/products/PRD002.jpg
PRD003,John Players Kurta,Kurta,1299,Yes,Yes,Acropolis Mall Ground Floor; South City Mall Second Floor; ABFRL Store South City,"Diwali,Durga Puja,Navratri,Eid,Wedding Season",All Season,/images/products/PRD003.jpg
PRD004,Louis Philippe Shirt,Shirt,2199,Yes,Yes,ABFRL Store South City; Quest Mall First Floor,"Diwali,Durga Puja,Wedding Season,Christmas",All Season,/images/products/PRD004.jpg
PRD005,Arrow Jeans,Jeans,1599,Yes,Yes,Acropolis Mall Ground Floor; Forum Mall Second Floor; ABFRL Store South City,"Holi,Christmas",All Season,/images/products/PRD005.jpg
PRD006,Tommy Hilfiger Sweater,Sweater,2999,Yes,Yes,ABFRL Store South City; City Centre Mall Ground Floor,"Diwali,Durga Puja,Christmas",Winter,/images/products/PRD006.jpg
PRD007,Woodland Boots,Footwear,3799,Yes,Yes,City Centre Mall Ground Floor; ABFRL Store South City,Christmas,Winter,/images/products/PRD007.jpg
PRD008,Levis Leather Jacket,Jacket,5999,Yes,Yes,Zudio Park Street Ground Floor; ABFRL Store South City,"Christmas,Wedding Season",Winter,/images/products/PRD008.jpg
PRD009,Fastrack Watch,Accessories,1499,Yes,Yes,ABFRL Store South City,"Diwali,Durga Puja,Eid,Wedding Season,Christmas",All Season,/images/products/PRD009.jpg
PRD010,Spykar Denim,Jeans,1699,Yes,Yes,Mani Square Mall First Floor; Quest Mall First Floor; ABFRL Store South City,"Holi,Christmas",All Season,/images/products/PRD010.jpg
PRD011,Adidas Track Pants,Track Pants,2499,Yes,Yes,City Centre Mall Ground Floor; Axis Mall Ground Floor; ABFRL Store South City,Holi,Winter,/images/products/PRD011.jpg
PRD012,Zara Casual Top,Top,1999,Yes,Yes,Zara Store Park Street; South City Mall Second Floor; ABFRL Store South City,"Holi,Christmas",Summer,/images/products/PRD012.jpg
PRD013,Nike Running Shoes,Footwear,5499,Yes,Yes,ABFRL Store South City; Forum Mall Second Floor,Holi,All Season,/images/products/PRD013.jpg
PRD014,Biba Kurti Set,Kurti Set,3299,Yes,Yes,South City Mall Second Floor; Acropolis Mall First Floor; ABFRL Store South City,"Diwali,Durga Puja,Navratri,Eid,Wedding Season",All Season,/images/products/PRD014.jpg
PRD015,US Polo Shirt,Shirt,2799,Yes,Yes,Quest Mall First Floor; Forum Mall Second Floor; ABFRL Store South City,"Diwali,Durga Puja,Wedding Season,Christmas",All Season,/images/products/PRD015.jpg
PRD016,Allen Solly Dress,Dress,3499,Yes,Yes,ABFRL Store South City,"Diwali,Eid,Wedding Season,Christmas",Spring,/images/products/PRD016.jpg
PRD017,Puma Sports Shoes,Footwear,4999,Yes,Yes,Axis Mall Ground Floor; City Centre Mall Ground Floor; ABFRL Store South City,Holi,All Season,/images/products/PRD017.jpg
PRD018,Global Desi Kurti,Kurti,2599,Yes,Yes,Acropolis Mall First Floor; South City Mall Second Floor; ABFRL Store South City,"Diwali,Durga Puja,Navratri,Eid,Wedding Season",All Season,/images/products/PRD018.jpg
PRD019,HRX Gym Jacket,Jacket,3999,Yes,Yes,ABFRL Store South City; Quest Mall First Floor,Christmas,Winter,/images/products/PRD019.jpg
PRD020,Max Long Dress,Dress,2199,Yes,Yes,Max Store City Centre; Forum Mall Second Floor; ABFRL Store South City,"Diwali,Eid,Wedding Season,Christmas",Summer,/images/products/PRD020.jpg
PRD021,Peter England Trousers,Trousers,2999,Yes,Yes,Forum Mall Second Floor; Quest Mall First Floor; ABFRL Store South City,"Diwali,Wedding Season,Christmas",All Season,/images/products/PRD021.jpg
PRD022,Only Denim Jacket,Jacket,4299,Yes,Yes,ABFRL Store South City,Christmas,Winter,/images/products/PRD022.jpg
